REL_ID:IGNORE|:TYPE|:START_ID|:END_ID
2016|hasType|400000000000000|300000000000349
2032|hasType|400000000000001|300000000000211
2041|hasType|400000000000002|300000000000098
2055|hasType|400000000000003|300000000000336
2067|hasType|400000000000004|300000000000336
2086|hasType|400000000000005|300000000000336
2098|hasType|400000000000006|300000000000193
2108|hasType|400000000000007|300000000000082
2120|hasType|400000000000008|300000000000088
2127|hasType|400000000000009|300000000000211
2148|hasType|400000000000010|300000000000057
2157|hasType|400000000000011|300000000000094
2176|hasType|400000000000012|300000000000059
2198|hasType|400000000000013|300000000000059
2208|hasType|400000000000014|300000000000059
2227|hasType|400000000000015|300000000000349
2239|hasType|400000000000016|300000000000059
2251|hasType|400000000000017|300000000000059
2264|hasType|400000000000018|300000000000059
2276|hasType|400000000000019|300000000000059
2288|hasType|400000000000020|300000000000059
2297|hasType|400000000000021|300000000000059
2323|hasType|400000000000022|300000000000057
2334|hasType|400000000000023|300000000000074
2352|hasType|400000000000024|300000000000115
2374|hasType|400000000000025|300000000000057
2381|hasType|400000000000026|300000000000211
2393|hasType|400000000000027|300000000000059
2406|hasType|400000000000028|300000000000059
2414|hasType|400000000000029|300000000000059
2423|hasType|400000000000030|300000000000059
2445|hasType|400000000000031|300000000000059
2471|hasType|400000000000032|300000000000037
2484|hasType|400000000000033|300000000000349
2515|hasType|400000000000034|300000000000059
2529|hasType|400000000000035|300000000000059
2554|hasType|400000000000036|300000000000059
2570|hasType|400000000000037|300000000000059
2585|hasType|400000000000038|300000000000349
2616|hasType|400000000000039|300000000000074
2626|hasType|400000000000040|300000000000074
2645|hasType|400000000000041|300000000000057
2652|hasType|400000000000042|300000000000115
2670|hasType|400000000000043|300000000000059
2685|hasType|400000000000044|300000000000059
2700|hasType|400000000000045|300000000000059
2718|hasType|400000000000046|300000000000057
2735|hasType|400000000000047|300000000000059
2749|hasType|400000000000048|300000000000059
2765|hasType|400000000000049|300000000000059
2775|hasType|400000000000050|300000000000057
2788|hasType|400000000000051|300000000000074
2803|hasType|400000000000052|300000000000059
2821|hasType|400000000000053|300000000000059
2831|hasType|400000000000054|300000000000059
2848|hasType|400000000000055|300000000000094
2859|hasType|400000000000056|300000000000059
2875|hasType|400000000000057|300000000000059
2890|hasType|400000000000058|300000000000349
2904|hasType|400000000000059|300000000000211
2923|hasType|400000000000060|300000000000059
2937|hasType|400000000000061|300000000000349
2955|hasType|400000000000062|300000000000059
2965|hasType|400000000000063|300000000000349
2978|hasType|400000000000064|300000000000148
3001|hasType|400000000000065|300000000000115
3020|hasType|400000000000066|300000000000024
3037|hasType|400000000000067|300000000000211
3054|hasType|400000000000068|300000000000059
3067|hasType|400000000000069|300000000000349
3081|hasType|400000000000070|300000000000059
3102|hasType|400000000000071|300000000000211
3122|hasType|400000000000072|300000000000211
3137|hasType|400000000000073|300000000000024
3160|hasType|400000000000074|300000000000349
3177|hasType|400000000000075|300000000000037
3198|hasType|400000000000076|300000000000037
3212|hasType|400000000000077|300000000000349
3228|hasType|400000000000078|300000000000059
3248|hasType|400000000000079|300000000000115
3268|hasType|400000000000080|300000000000211
3280|hasType|400000000000081|300000000000059
3299|hasType|400000000000082|300000000000024
3330|hasType|400000000000083|300000000000211
3349|hasType|400000000000084|300000000000115
3364|hasType|400000000000085|300000000000059
3383|hasType|400000000000086|300000000000059
3399|hasType|400000000000087|300000000000211
3416|hasType|400000000000088|300000000000059
3430|hasType|400000000000089|300000000000115
3451|hasType|400000000000090|300000000000115
3482|hasType|400000000000091|300000000000191
3495|hasType|400000000000092|300000000000211
3514|hasType|400000000000093|300000000000059
3533|hasType|400000000000094|300000000000148
3556|hasType|400000000000095|300000000000059
3577|hasType|400000000000096|300000000000059
3592|hasType|400000000000097|300000000000059
3613|hasType|400000000000098|300000000000211
3631|hasType|400000000000099|300000000000024
3646|hasType|400000000000100|300000000000211
3664|hasType|400000000000101|300000000000059
3685|hasType|400000000000102|300000000000024
3704|hasType|400000000000103|300000000000115
3724|hasType|400000000000104|300000000000211
3748|hasType|400000000000105|300000000000211
3767|hasType|400000000000106|300000000000211
3784|hasType|400000000000107|300000000000211
3801|hasType|400000000000108|300000000000059
3818|hasType|400000000000109|300000000000059
3836|hasType|400000000000110|300000000000211
3854|hasType|400000000000111|300000000000088
3875|hasType|400000000000112|300000000000349
3891|hasType|400000000000113|300000000000349
3907|hasType|400000000000114|300000000000211
3924|hasType|400000000000115|300000000000059
3944|hasType|400000000000116|300000000000024
3959|hasType|400000000000117|300000000000211
3974|hasType|400000000000118|300000000000148
3993|hasType|400000000000119|300000000000082
4006|hasType|400000000000120|300000000000349
4022|hasType|400000000000121|300000000000059
4043|hasType|400000000000122|300000000000096
4059|hasType|400000000000123|300000000000024
4082|hasType|400000000000124|300000000000059
4096|hasType|400000000000125|300000000000349
4114|hasType|400000000000126|300000000000319
4126|hasType|400000000000127|300000000000095
4142|hasType|400000000000128|300000000000059
4159|hasType|400000000000129|300000000000349
4175|hasType|400000000000130|300000000000349
4193|hasType|400000000000131|300000000000349
4205|hasType|400000000000132|300000000000211
4219|hasType|400000000000133|300000000000349
4235|hasType|400000000000134|300000000000059
4253|hasType|400000000000135|300000000000024
4269|hasType|400000000000136|300000000000059
4287|hasType|400000000000137|300000000000211
4304|hasType|400000000000138|300000000000057
4320|hasType|400000000000139|300000000000211
4339|hasType|400000000000140|300000000000349
4355|hasType|400000000000141|300000000000211
4369|hasType|400000000000142|300000000000211
4384|hasType|400000000000143|300000000000211
4398|hasType|400000000000144|300000000000336
4411|hasType|400000000000145|300000000000336
4425|hasType|400000000000146|300000000000211
4440|hasType|400000000000147|300000000000336
4450|hasType|400000000000148|300000000000211
4466|hasType|400000000000149|300000000000336
4478|hasType|400000000000150|300000000000211
4491|hasType|400000000000151|300000000000059
4510|hasType|400000000000152|300000000000336
4524|hasType|400000000000153|300000000000211
4541|hasType|400000000000154|300000000000211
4555|hasType|400000000000155|300000000000211
4564|hasType|400000000000156|300000000000082
4581|hasType|400000000000157|300000000000211
4597|hasType|400000000000158|300000000000211
4614|hasType|400000000000159|300000000000336
4623|hasType|400000000000160|300000000000336
4636|hasType|400000000000161|300000000000059
4646|hasType|400000000000162|300000000000336
4661|hasType|400000000000163|300000000000336
4674|hasType|400000000000164|300000000000037
4683|hasType|400000000000165|300000000000059
4695|hasType|400000000000166|300000000000059
4704|hasType|400000000000167|300000000000211
4718|hasType|400000000000168|300000000000336
4733|hasType|400000000000169|300000000000211
4744|hasType|400000000000170|300000000000336
4759|hasType|400000000000171|300000000000037
4772|hasType|400000000000172|300000000000059
4783|hasType|400000000000173|300000000000336
4792|hasType|400000000000174|300000000000279
4807|hasType|400000000000175|300000000000336
4819|hasType|400000000000176|300000000000336
4833|hasType|400000000000177|300000000000211
4851|hasType|400000000000178|300000000000059
4865|hasType|400000000000179|300000000000037
4880|hasType|400000000000180|300000000000115
4891|hasType|400000000000181|300000000000336
4911|hasType|400000000000182|300000000000082
4927|hasType|400000000000183|300000000000336
4941|hasType|400000000000184|300000000000059
4956|hasType|400000000000185|300000000000211
4969|hasType|400000000000186|300000000000059
4984|hasType|400000000000187|300000000000226
4993|hasType|400000000000188|300000000000336
5009|hasType|400000000000189|300000000000037
5026|hasType|400000000000190|300000000000211
5038|hasType|400000000000191|300000000000211
5052|hasType|400000000000192|300000000000279
5063|hasType|400000000000193|300000000000211
5076|hasType|400000000000194|300000000000211
5089|hasType|400000000000195|300000000000349
5106|hasType|400000000000196|300000000000059
5123|hasType|400000000000197|300000000000059
5131|hasType|400000000000198|300000000000250
5146|hasType|400000000000199|300000000000349
5156|hasType|400000000000200|300000000000059
5170|hasType|400000000000201|300000000000211
