id:ID|:LABEL|type|name|url
100000000000000|organisation|Company|Kam_Air|http://dbpedia.org/resource/Kam_Air
100000000000001|organisation|Company|Balkh_Airlines|http://dbpedia.org/resource/Balkh_Airlines
100000000000002|organisation|Company|Khyber_Afghan_Airlines|http://dbpedia.org/resource/Khyber_Afghan_Airlines
100000000000003|organisation|Company|MarcoPolo_Airways|http://dbpedia.org/resource/MarcoPolo_Airways
100000000000004|organisation|Company|Pamir_Airways|http://dbpedia.org/resource/Pamir_Airways
100000000000005|organisation|Company|Bakhtar_Afghan_Airlines|http://dbpedia.org/resource/Bakhtar_Afghan_Airlines
100000000000006|organisation|Company|Safi_Airways|http://dbpedia.org/resource/Safi_Airways
100000000000007|organisation|Company|Air_Algérie|http://dbpedia.org/resource/Air_Algérie
100000000000008|organisation|Company|Khalifa_Airways|http://dbpedia.org/resource/Khalifa_Airways
100000000000009|organisation|Company|Tassili_Airlines|http://dbpedia.org/resource/Tassili_Airlines
100000000000010|organisation|Company|Antinea_Airlines|http://dbpedia.org/resource/Antinea_Airlines
100000000000011|organisation|Company|Star_Aviation|http://dbpedia.org/resource/Star_Aviation
100000000000012|organisation|Company|TAAG_Angola_Airlines|http://dbpedia.org/resource/TAAG_Angola_Airlines
100000000000013|organisation|Company|Aero_Tropical|http://dbpedia.org/resource/Aero_Tropical
100000000000014|organisation|Company|Angola_Air_Charter|http://dbpedia.org/resource/Angola_Air_Charter
100000000000015|organisation|Company|Alada|http://dbpedia.org/resource/Alada
100000000000016|organisation|Company|Air_Gemini|http://dbpedia.org/resource/Air_Gemini
100000000000017|organisation|Company|Aeronáutica_(Angola)|http://dbpedia.org/resource/Aeronáutica_(Angola)
100000000000018|organisation|Company|Diexim_Expresso|http://dbpedia.org/resource/Diexim_Expresso
100000000000019|organisation|Company|SonAir|http://dbpedia.org/resource/SonAir
100000000000020|organisation|Company|Air_26|http://dbpedia.org/resource/Air_26
100000000000021|organisation|Company|Aerolíneas_Argentinas|http://dbpedia.org/resource/Aerolíneas_Argentinas
100000000000022|organisation|Company|Austral_Líneas_Aéreas|http://dbpedia.org/resource/Austral_Líneas_Aéreas
100000000000023|organisation|Company|Líneas_Aéreas_Privadas_Argentinas|http://dbpedia.org/resource/Líneas_Aéreas_Privadas_Argentinas
100000000000024|organisation|Company|Aero_VIP_(Argentina)|http://dbpedia.org/resource/Aero_VIP_(Argentina)
100000000000025|organisation|Company|CATA_Línea_Aérea|http://dbpedia.org/resource/CATA_Línea_Aérea
100000000000026|organisation|Company|LADE|http://dbpedia.org/resource/LADE
100000000000027|organisation|Company|Líneas_Aéreas_Federales|http://dbpedia.org/resource/Líneas_Aéreas_Federales
100000000000028|organisation|Company|LAN_Argentina|http://dbpedia.org/resource/LAN_Argentina
100000000000029|organisation|Company|Sol_Líneas_Aéreas|http://dbpedia.org/resource/Sol_Líneas_Aéreas
100000000000030|organisation|Company|Andes_Líneas_Aéreas|http://dbpedia.org/resource/Andes_Líneas_Aéreas
100000000000031|organisation|Company|Silver_Sky_Airlines|http://dbpedia.org/resource/Silver_Sky_Airlines
100000000000032|organisation|Company|Dinar_Líneas_Aéreas|http://dbpedia.org/resource/Dinar_Líneas_Aéreas
100000000000033|organisation|Company|Aerochaco|http://dbpedia.org/resource/Aerochaco
100000000000034|organisation|Company|Trans_Australia_Airlines|http://dbpedia.org/resource/Trans_Australia_Airlines
100000000000035|organisation|Company|Ansett_Australia|http://dbpedia.org/resource/Ansett_Australia
100000000000036|organisation|Company|Skywest_Airlines|http://dbpedia.org/resource/Skywest_Airlines
100000000000037|organisation|Company|Virgin_Blue|http://dbpedia.org/resource/Virgin_Blue
100000000000038|organisation|Company|Jetstar_Airways|http://dbpedia.org/resource/Jetstar_Airways
